Employer,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
Astellas Pharma US Inc.,"Northbrook, IL",F,F,F,F,F,F,F,F,F,,100,100,
AstraZeneca PLC,"Wilmington, DE",F,F,F,F,F,F,,F,F,,90,90,
AT&T Inc.,"Dallas, TX",F,F,F,F,F,F,F,F,F,,100,100,12
AthenaHealth Inc.,"Watertown, MA",F,F,F,F,F,F,F,F,P,,95,,
Austin Radiological Assn.,"Austin, TX",P,,,F,P,,,P,,,30,30,
Autodesk Inc.,"San Rafael, CA",F,F,F,F,F,F,F,F,F,,100,85,862
Autoliv Inc.,"Auburn Hills, MI",P,P,,,,,,,,,20,20,312
Automatic Data Processing Inc.,"Roseland, NJ",F,F,F,F,F,F,F,F,F,,100,100,251
AutoNation Inc.,"Fort Lauderdale, FL",P,,,,,,,,,,10,10,156
Auto-Owners Insurance Group,"Lansing, MI",,,,,,,,,,,0,0,425
AutoZone Inc.,"Memphis, TN",P,P,,,,,,,,,20,10,307
Avaya Inc.,"Santa Clara, CA",F,F,F,F,F,,,F,P,,70,75,581
Avery Dennison,"Glendale, CA",P,,,,,,,,,,10,10,427
Avis Budget Group Inc.,"Parsippany, NJ",F,F,F,F,F,F,F,F,P,,95,75,336
Avnet Inc.,"Phoenix, AZ",F,F,F,F,F,F,F,P,,,80,80,108
Avon Products Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,322
AXA,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
B J‰Ûªs Wholesale Club,"Westborough, MA",F,F,F,F,F,F,F,F,F,,100,25,
BAE Systems Inc.,"Arlington, VA",F,F,F,F,F,F,F,F,F,,100,85,
Bain & Co. Inc./ Bridgespan Group,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Baker & Hostetler LLP,"Cleveland, OH",F,F,F,F,F,F,F,F,P,,95,85,
Baker & McKenzie LLP,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Baker Botts LLP,"Houston, TX",F,F,F,F,F,,F,F,P,,85,85,
Baker Hughes Inc.,"Houston, TX",P,P,,,,,,,,,20,10,119
"Baker, Donelson, Bearman, Caldwell & Berkowitz PC","Memphis, TN",F,F,F,F,F,F,F,F,F,,100,100,
Baldor Electric Co.,"Fort Smith, AR",P,,F,,P,,,,P,,25,25,
Ball Corp.,"Broomfield, CO",F,F,F,F,F,F,F,F,F,,100,100,332
Ballard Spahr LLP,"Philadelphia, PA",F,F,F,F,F,F,F,F,P,,95,85,
Bank of America Corp.,"Charlotte, NC",F,F,F,F,F,F,F,F,F,D,75,100,23
"Bank of New York Mellon Corp., The","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,189
Bank of the West,"San Francisco, CA",F,F,F,F,F,,F,F,P,,85,,
Barclays,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Barilla America Inc.,"Northbrook, IL",F,F,F,F,F,F,F,F,F,,100,100,
Barnes & Noble Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,423
Barnes & Thornburg LLP,"Indianapolis, IN",F,F,,F,F,F,F,F,P,,90,,
BASF Corp.,"Florham Park, NJ",F,F,F,F,F,F,F,F,F,,100,100,
