Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
NYSE,HBI,Hanesbrands Inc.,23.73,$8.65B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/hbi,1,0,0,0,0,0,1,0,"Winston-Salem, NC",F,F,F,F,F,F,F,P,P,,90,85,490
NYSE,HOG,"Harley-Davidson, Inc.",46.62,$7.95B,n/a,Consumer Non-Durables,Motor Vehicles,http://www.nasdaq.com/symbol/hog,1,0,0,0,0,0,1,0,"Milwaukee, WI",P,N,N,N,N,N,N,N,N,,10,10,431
NYSE,HRS,Harris Corporation,136.56,$16.27B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hrs,1,0,0,0,0,0,1,0,"Melbourne, FL",F,F,F,F,F,F,F,F,F,,100,100,517
NasDaq,HAS,"Hasbro, Inc.",96.62,$12.09B,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/has,1,0,0,0,0,0,1,0,"Pawtucket, RI",F,F,F,F,F,F,F,F,F,,100,90,595
NYSE,HCA,"HCA Healthcare, Inc.",74.58,$26.94B,2011,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hca,1,0,0,0,0,0,1,0,"Nashville, TN",F,F,N,F,F,F,F,P,F,,90,70,75
NYSE,HLS,HealthSouth Corporation,45.23,$4.47B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hls,1,0,0,0,0,0,1,0,"Birmingham, AL",F,N,F,F,F,N,N,F,P,,55,,893
NasDaq,HSIC,"Henry Schein, Inc.",80.93,$12.8B,1995,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hsic,1,0,0,0,0,0,1,0,"Melville, NY",F,F,F,F,F,F,F,F,F,,100,100,287
NasDaq,MLHR,"Herman Miller, Inc.",35.7,$2.13B,n/a,Consumer Durables,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/mlhr,1,0,0,0,0,0,1,0,"Zeeland, MI",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,HSY,Hershey Company (The),110.07,$23.38B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/hsy,1,0,0,1,0,0,1,1,"Hershey, PA",F,F,F,F,F,F,F,F,F,,100,100,376
NYSE,HTZ,"Hertz Global Holdings, Inc",26.27,$2.2B,2016,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/htz,1,0,0,0,0,0,1,0,"Park Ridge, NJ",F,F,F,F,P,N,N,N,P,,55,55,
NYSE,HES,Hess Corporation,44.99,$14.3B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hes,1,0,0,1,0,1,1,0,"New York, NY",F,F,F,F,F,N,N,N,P,,65,65,141
NYSE,HPE,Hewlett Packard Enterprise Company,14.89,$24.11B,2015,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpe,1,0,0,0,0,0,1,0,"Palo Alto, CA",F,F,F,F,F,F,F,F,F,,100,,
NYSE,HLT,Hilton Worldwide Holdings Inc.,71.16,$22.84B,2016,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/hlt,1,0,0,0,0,0,1,0,"McLean, VA",F,F,F,F,F,F,F,F,F,,100,100,280
NYSE,HFC,HollyFrontier Corporation,36.38,$6.45B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hfc,1,0,0,0,0,0,1,0,"Dallas, TX",P,P,N,N,N,N,N,N,N,,20,20,150
NYSE,HD,"Home Depot, Inc. (The)",164.47,$193.88B,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/hd,1,0,0,0,0,1,1,0,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,33
NYSE,HON,Honeywell International Inc.,143.37,$109.04B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/hon,1,0,0,1,1,1,1,0,"Morris Township, NJ",F,F,F,F,P,N,F,F,P,,75,75,74
NYSE,HRL,Hormel Foods Corporation,31.85,$16.81B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/hrl,1,0,0,0,0,0,1,0,"Austin, MN",F,F,F,F,F,F,F,F,F,,100,100,310
NYSE,HST,"Host Hotels & Resorts, Inc.",19.51,$14.44B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hst,1,0,0,0,0,0,1,0,"Bethesda, MD",N,N,N,F,N,N,N,N,N,,10,20,485
NasDaq,HMHC,Houghton Mifflin Harcourt Company,11.175,$1.38B,2013,Consumer Services,Books,http://www.nasdaq.com/symbol/hmhc,1,0,0,0,0,0,1,0,"Boston, MA",F,F,F,F,F,N,F,P,P,,80,80,
NYSE,HPQ,HP Inc.,21.71,$36.26B,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpq,1,0,0,1,0,1,1,1,"Palo Alto, CA",F,F,F,F,F,F,F,F,F,,100,100,19
NYSE,HRG,"HRG Group, Inc.",15.61,$3.13B,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hrg,1,0,0,0,0,0,1,0,"New York, NY",P,N,N,N,N,N,N,N,N,,10,10,447
NasDaq,HSNI,"HSN, Inc.",37.05,$1.94B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/hsni,1,0,0,0,0,0,1,0,"St. Petersburg, FL",F,F,F,F,F,N,F,P,F,,85,85,669
NYSE,HUM,Humana Inc.,237.73,$34.36B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hum,1,0,0,0,0,0,1,0,"Louisville, KY",F,F,F,F,F,F,F,F,F,,100,100,58
NasDaq,HBAN,Huntington Bancshares Incorporated,13.7,$14.93B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hban,1,0,0,0,0,0,1,0,"Columbus, OH",F,F,F,F,F,F,F,F,F,,100,100,765
NYSE,HII,"Huntington Ingalls Industries, Inc.",234.4,$10.64B,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/hii,1,0,0,0,0,0,1,0,"Newport News, VA",F,F,F,F,F,N,F,F,P,,85,10,390
NYSE,HUN,Huntsman Corporation,29.32,$7.8B,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hun,1,0,0,0,1,0,1,0,"The Woodlands, TX",F,N,F,F,F,N,N,P,P,,55,35,259
NasDaq,HURN,Huron Consulting Group Inc.,36.2,$800.28M,2004,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/hurn,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
