Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,CEI_Score_2017,CEI_Score_2016,Fortune_1000_Rank,Diff,Reco
NYSE,IR,Ingersoll-Rand plc (Ireland),91.32,$23.16B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ir,1,0,0,0,0,0,1,0,"Davidson, NC",F,F,F,F,F,F,F,F,F,,100,90,,10,Moderate Buy
NYSE,RLGY,Realogy Holdings Corp.,32.15,$4.38B,2012,Finance,Real Estate,http://www.nasdaq.com/symbol/rlgy,1,0,0,0,0,0,1,0,"Madison, NJ",F,F,F,F,F,N,F,F,P,,85,75,488,10,Moderate Buy
NasDaq,ROST,"Ross Stores, Inc.",63.12,$24.34B,1985,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/rost,1,0,0,0,0,0,1,0,"Dublin , CA",F,F,F,F,F,F,F,N,F,,90,80,269,10,Moderate Buy
NasDaq,TROW,"T. Rowe Price Group, Inc.",94.94,$22.82B,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow,1,0,0,0,0,0,1,0,"Baltimore, MD",F,F,F,F,F,F,F,F,F,,100,95,620,5,Hold
NYSE,TGNA,TEGNA Inc.,12.64,$2.72B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tgna,1,0,0,0,0,0,1,0,"McLean, VA",F,F,F,F,F,F,F,F,F,,100,95,441,5,Moderate Buy
NYSE,THC,Tenet Healthcare Corporation,13.15,$1.33B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/thc,1,0,0,0,0,0,1,0,"Dallas, TX",F,F,N,F,F,N,N,P,F,,70,65,170,5,Moderate Buy
NYSE,UTX,United Technologies Corporation,118.72,$94.8B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/utx,1,0,0,0,1,1,1,0,"Farmington, CT",F,F,F,F,F,F,F,F,F,,100,95,45,5,Moderate Buy
NasDaq,WEN,Wendy&#39;s Company (The),15.35,$3.74B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/wen,1,0,0,0,0,0,1,0,"Dublin, OH",F,F,N,F,F,N,N,F,P,,70,65,993,5,Moderate Buy
NYSE,WYN,Wyndham Worldwide Corp,110.37,$11.34B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/wyn,1,0,0,0,0,0,1,0,"Parsippany, NJ",F,F,F,F,F,F,F,F,F,,100,95,497,5,Moderate Buy
NYSE,A,"Agilent Technologies, Inc.",66.99,$21.56B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a,1,0,0,0,0,0,1,0,"Santa Clara, CA",F,F,F,F,F,F,F,P,F,,95,90,389,5,Moderate Buy
