Name,Fund Type,AUM (US$ millions),Mgmt Fee %,Exp Ratio %,YTD %,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco,Other / Qualitative,Shareholder Engagement
CWVYX - Calvert International Opportunities Fund Y,Int'l Global,209.65,0.87,1.15,26.37,6.43,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CLDAX - Calvert Long-Term Income Fund A,Bond (Fixed Inc),94.42,0.52,1.25,7.98,4.07,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CLDIX - Calvert Long-Term Income Fund I,Bond (Fixed Inc),94.42,0.52,0,8.37,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CMAAX - Calvert Moderate Allocation Fund A,Equity Specialty,264.7,0,1.18,9.54,5.59,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CMACX - Calvert Moderate Allocation Fund C,Equity Specialty,264.7,0,1.93,8.95,4.8,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CSDAX - Calvert Short Duration Income Fund A,Bond (Fixed Inc),1373.05,0.46,0.88,2.17,1.58,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CDICX - Calvert Short Duration Income Fund C,Bond (Fixed Inc),1373.05,0.46,1.66,1.66,0.82,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CDSIX - Calvert Short Duration Income Fund I,Bond (Fixed Inc),1373.05,0.46,0.52,2.42,2.06,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CSDYX - Calvert Short Duration Income Fund Y,Bond (Fixed Inc),1373.05,0.46,0.61,2.36,1.88,C,C,C,C,C,C,C,X,C,C,R,R,R,R,R,,
CCVAX - Calvert Small Cap Fund A,Equity Mid-sm Cap,280.78,0.8,1.37,3.05,8.71,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
