Name,Fund Type,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
CDSIX - Calvert Short Duration Income Fund I,Bond (Fixed Inc),2.06,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSDYX - Calvert Short Duration Income Fund Y,Bond (Fixed Inc),1.88,7,7,7,7,7,7,7,9,7,7,5,5,5,5,5
CCVAX - Calvert Small Cap Fund A,Equity Mid-sm Cap,8.71,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSCCX - Calvert Small Cap Fund C,Equity Mid-sm Cap,7.9,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSVIX - Calvert Small Cap Fund I,Equity Mid-sm Cap,9.22,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSCYX - Calvert Small Cap Fund Y,Equity Mid-sm Cap,9.03,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CTTLX - Calvert Tax-Free Bond Fund A,Bond (Fixed Inc),2.48,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CTTCX - Calvert Tax-Free Bond Fund C,Bond (Fixed Inc),0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CTTIX - Calvert Tax-Free Bond Fund I,Bond (Fixed Inc),0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CTTYX - Calvert Tax-Free Bond Fund Y,Bond (Fixed Inc),0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSXAX - Calvert U.S. Large Cap Core Responsible Index Fund A,Equity Large Cap,9.05,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSXCX - Calvert U.S. Large Cap Core Responsible Index Fund C,Equity Large Cap,8.23,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CISIX - Calvert U.S. Large Cap Core Responsible Index Fund I,Equity Large Cap,9.46,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5
CISYX - Calvert U.S. Large Cap Core Responsible Index Fund Y,Equity Large Cap,9.29,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CGJAX - Calvert U.S. Large Cap Growth Responsible Index Fund A,Equity Large Cap,0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CGJCX - Calvert U.S. Large Cap Growth Responsible Index Fund C,Equity Large Cap,0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CGJIX - Calvert U.S. Large Cap Growth Responsible Index Fund I,Equity Large Cap,0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CGJYX - Calvert U.S. Large Cap Growth Responsible Index Fund Y,Equity Large Cap,0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A,Equity Large Cap,0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C,Equity Large Cap,0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I,Equity Large Cap,0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y,Equity Large Cap,0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CULAX - Calvert Ultra-Short Income Fund A,Bond (Fixed Inc),0.98,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5
CULIX - Calvert Ultra-Short Income Fund I,Bond (Fixed Inc),1.36,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CULYX - Calvert Ultra-Short Income Fund Y,Bond (Fixed Inc),1.24,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CUBAX - Calvert Unconstrained Bond Fund A,Bond (Fixed Inc),0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CUBCX - Calvert Unconstrained Bond Fund C,Bond (Fixed Inc),0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CUBIX - Calvert Unconstrained Bond Fund I,Bond (Fixed Inc),0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CUBYX - Calvert Unconstrained Bond Fund Y,Bond (Fixed Inc),0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CCMNX - CCM Alternative Income Fund,Balanced,1.38,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
LCILX - ClearBridge Sustainability Leaders Fund (IS shares),All Cap,0,3,7,3,3,3,3,7,5,3,1,5,3,5,5,5
CRAIX - CRA Qualified Investment - CRA,Bond (Fixed Inc),1.99,4,3,3,3,3,1,1,1,1,1,5,5,5,5,5
CRANX - CRA Qualified Investment - Institutional,Bond (Fixed Inc),2.45,4,3,3,3,3,1,1,1,1,1,9,9,9,9,9
CRATX - CRA Qualified Investment - Retail,Bond (Fixed Inc),2.17,4,3,3,3,3,1,1,1,1,1,9,9,9,9,9
DOMAX - Domini International Social Equity Fund 1 A shares,Int'l Global,5.71,7,7,7,7,7,7,7,5,7,7,9,5,9,9,9
DOMOX - Domini International Social Equity Fund 1 Institutional shares,Int'l Global,6.15,7,7,7,7,7,7,7,5,7,7,9,5,9,9,9
DOMIX - Domini International Social Equity Fund 1 Investor shares,Int'l Global,5.75,7,7,7,7,7,7,7,5,7,7,9,5,9,9,9
DSBFX - Domini Social Bond Fund - Investor shares,Bond (Fixed Inc),2.42,7,7,7,7,7,7,7,5,7,7,9,5,9,9,9
DSBIX - Domini Social Bond Fund 1 Institutional shares,Bond (Fixed Inc),2.66,8,7,7,7,7,7,7,5,7,7,9,5,9,9,9
DSEPX - Domini Social Equity Fund 1 A shares,Equity Large Cap,3.74,7,7,7,7,7,7,7,5,7,7,9,5,9,9,9
DIEQX - Domini Social Equity Fund 1 Institutional shares,Bond (Fixed Inc),4.14,7,7,7,7,7,7,7,5,7,7,9,5,9,9,9
DSEFX - Domini Social Equity Fund 1 Investor shares,Equity Large Cap,3.77,7,7,7,7,7,7,7,5,7,7,9,5,9,9,9
DSFRX - Domini Social Equity Fund 1 R shares,Equity Large Cap,4.09,7,7,7,7,7,7,7,5,7,7,9,5,9,9,9
SRIAX - Gabelli ESG Fund Inc A,All Cap,6.22,8,7,7,1,1,1,1,1,7,1,5,1,5,5,5
SRIGX - Gabelli ESG Fund Inc AAA,All Cap,6.22,8,7,7,1,1,1,1,1,7,1,5,1,5,5,5
SRICX - Gabelli ESG Fund Inc C,All Cap,5.42,8,7,7,1,1,1,1,1,7,1,5,1,5,5,5
SRIDX - Gabelli ESG Fund Inc I,All Cap,6.5,8,7,7,1,1,1,1,1,7,1,5,1,5,5,5
GCBLX - Green Century Balanced,Balanced,4.79,8,5,7,3,7,7,3,1,7,7,5,9,9,5,9
GCEQX - Green Century Equity,Equity Large Cap,8.86,8,5,7,1,7,7,7,1,7,3,9,5,9,9,9
GCIFX - Green Century MSCI International Index Fund - Institution,Int'l Global,0,8,5,7,1,7,7,7,1,7,7,9,5,9,9,9
GCINX - Green Century MSCI International Index Fund - Investor,Int'l Global,0,8,5,7,1,7,7,7,1,7,7,9,5,9,9,9
