Fund Type,Name,AUM (US$ millions),YTD %,Avg % 1 yr,Avg % 3 yr,Avg % 5 yr,Avg % 10 yr,RTN% Prev Yr,Mgmt Fee %,Exp Ratio %
Int'l Global,CWVGX - Calvert International Equity Fund A,231.28,14.06,13.13,0.8,6.3,-1.72,-3.85,0.86,1.34
Int'l Global,CWVCX - Calvert International Equity Fund C,231.28,13.54,12.3,0.02,5.41,-2.55,-4.66,0.86,2.09
Int'l Global,CWVIX - Calvert International Equity Fund I,231.28,14.38,13.56,1.27,6.87,-1.08,-3.5,0.86,0.96
Int'l Global,CWEYX - Calvert International Equity Fund Y,231.28,14.31,13.48,1.09,6.62,0,-3.66,0.86,1.09
Int'l Global,COIIX - Calvert International Opportunities Fund A,209.65,26.44,25.78,6.6,12.11,4.32,0.95,0.87,1.16
Int'l Global,COICX - Calvert International Opportunities Fund C,209.65,25.39,24.33,5.22,10.64,2.99,-0.29,0.87,2.26
Int'l Global,CWVYX - Calvert International Opportunities Fund Y,209.65,26.37,25.66,6.43,11.91,0,0.88,0.87,1.15
Bond (Fixed Inc),CLDAX - Calvert Long-Term Income Fund A,94.42,7.98,0.63,4.07,4.23,7.78,6.79,0.52,1.25
Bond (Fixed Inc),CLDIX - Calvert Long-Term Income Fund I,94.42,8.37,1.12,0,0,0,7.3,0.52,0
Equity Specialty,CMAAX - Calvert Moderate Allocation Fund A,264.7,9.54,11.71,5.59,8.64,4.8,6.73,0,1.18
Equity Specialty,CMACX - Calvert Moderate Allocation Fund C,264.7,8.95,10.82,4.8,7.83,4.01,5.93,0,1.93
Bond (Fixed Inc),CSDAX - Calvert Short Duration Income Fund A,1373.05,2.17,1.68,1.58,1.7,3.07,3.25,0.46,0.88
Bond (Fixed Inc),CDICX - Calvert Short Duration Income Fund C,1373.05,1.66,0.91,0.82,0.96,2.31,2.49,0.46,1.66
Bond (Fixed Inc),CDSIX - Calvert Short Duration Income Fund I,1373.05,2.42,2.07,2.06,2.22,3.59,3.63,0.46,0.52
Bond (Fixed Inc),CSDYX - Calvert Short Duration Income Fund Y,1373.05,2.36,2.04,1.88,2.02,0,3.6,0.46,0.61
Equity Mid-sm Cap,CCVAX - Calvert Small Cap Fund A,280.78,3.05,15.54,8.71,13.88,7.01,20,0.8,1.37
Equity Mid-sm Cap,CSCCX - Calvert Small Cap Fund C,280.78,2.51,14.63,7.9,13,6.1,19.09,0.8,2.12
Equity Mid-sm Cap,CSVIX - Calvert Small Cap Fund I,280.78,3.37,16.11,9.22,14.52,7.73,20.54,0.8,0.91
Equity Mid-sm Cap,CSCYX - Calvert Small Cap Fund Y,280.78,3.28,15.9,9.03,0,0,20.4,0.8,1.12
Bond (Fixed Inc),CTTLX - Calvert Tax-Free Bond Fund A,147.74,4.41,0.19,2.48,2.32,3.14,-0.42,0.47,0.8
