Fund Type,Name,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
Equity Large Cap,DSEFX - Domini Social Equity Fund -- Investor shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X
Equity Large Cap,DSFRX - Domini Social Equity Fund -- R shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X
All Cap,SRIAX - Gabelli ESG Fund Inc A,C *,C,C,--,--,--,--,--,C,--,R,--,R,R,R
All Cap,SRIGX - Gabelli ESG Fund Inc AAA,C *,C,C,--,--,--,--,--,C,--,R,--,R,R,R
All Cap,SRICX - Gabelli ESG Fund Inc C,C *,C,C,--,--,--,--,--,C,--,R,--,R,R,R
All Cap,SRIDX - Gabelli ESG Fund Inc I,C *,C,C,--,--,--,--,--,C,--,R,--,R,R,R
Balanced,GCBLX - Green Century Balanced,C *,R,C,P,C,C,P,--,C,C,R,X,X,R,X
Equity Large Cap,GCEQX - Green Century Equity,C *,R,C,--,C,C,C,--,C,P,X,R,X,X,X
Int'l Global,GCIFX - Green Century MSCI International Index Fund - Institution,C *,R,C,--,C,C,C,--,C,C,X,R,X,X,X
Int'l Global,GCINX - Green Century MSCI International Index Fund - Investor,C *,R,C,--,C,C,C,--,C,C,X,R,X,X,X
Int'l Global,ESGMX - Mirova Global Sustainable Equity Fund - Class A,P,X,C,C,P,R,C,--,C,C,--,--,--,--,--
Int'l Global,ESGYX - Mirova Global Sustainable Equity Fund - Class Y,P,R,C,C,P,R,C,--,C,C,R,--,R,C,R
Equity Large Cap,NBSRX - Neuberger Berman Socially Resp Inv,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X
Equity Large Cap,NRARX - Neuberger Berman Socially Resp R3,C,C,P,P,P,P,P,X,P,P,X,R,X,X,X
Equity Large Cap,NBSTX - Neuberger Berman Socially Resp Tr,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X
Equity Large Cap,NRAAX - Neuberger Berman Socially Responsive A,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X
Equity Large Cap,NRACX - Neuberger Berman Socially Responsive C,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X
Equity Large Cap,NBSLX - Neuberger Berman Socially Responsive I,C,C,C,P,P,P,P,P,P,P,X,R,X,X,X
Int'l Global,PAFSX - Parnassus Asia Fund,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R
Equity Large Cap,PRBLX - Parnassus Core Equity Fund,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R
Equity Specialty,PARWX - Parnassus Endeavor Fund,P *,P,P,P,P,P,P,R,P,P,R,P,R,R,R
Bond (Fixed Inc),PRFIX - Parnassus Fixed Income Fund,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R
All Cap,PARNX - Parnassus Fund,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R
Equity Mid-Sm Cap,PARMX - Parnassus Mid Cap Fund,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R
Balanced,PAXWX - Pax Balanced Fund - Individual Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Balanced,PAXIX - Pax Balanced Fund - Institutional Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Bond (Fixed Inc),PAXBX - Pax Core Bond fund Individual,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X
Bond (Fixed Inc),PXBIX - Pax Core Bond fund Institutional,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X
Equity Specialty,PXWEX - Pax Ellevate Global Women's Index Fund - Individual Investor,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R
Equity Specialty,PXWIX - Pax Ellevate Global Women's Index Fund - Institutional Class,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R
Equity Large Cap,PAXDX - Pax ESG Beta Dividend Fund Individual,--,--,C,--,C,C,C,R,C,C,C,C,R,--,X
Equity Large Cap,PXDIX - Pax ESG Beta Dividend Fund Institutional,--,--,C,--,C,C,C,R,C,C,C,C,R,--,X
Equity Large Cap,PXGAX - Pax ESG Beta Quality Fund - Class A,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Equity Large Cap,PXWGX - Pax ESG Beta Quality Fund - Individual Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Equity Large Cap,PWGIX - Pax ESG Beta Quality Fund - Institutional Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Int'l Global,PGRNX - Pax Global Environmental Markets Fund - Individual Investor,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Int'l Global,PGINX - Pax Global Environmental Markets Fund - Institutional Class,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Int'l Global,PXEAX - Pax Global Environmental Markets Fund A,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Bond (Fixed Inc),PAXHX - Pax High Yield Bond Fund - Individual Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Bond (Fixed Inc),PXHIX - Pax High Yield Bond Fund - Institutional Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Bond (Fixed Inc),PXHAX - Pax High Yield Bond Fund A,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Equity Large Cap,PAXLX - Pax Large Cap Fund Individual,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X
Equity Large Cap,PXLIX - Pax Large Cap Fund Intitutional,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X
