"Name","Fund Type","Attribute Type","Attribute","Rating","NumCompanies","Avg % Return 3 yr"
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Environmental","Climate/Clean Technology","P",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Environmental","Environment","C",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Environmental","Pollution/Toxics","X",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Governance","Board Issues","C",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Governance","Executive Pay","C",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Products","Alcohol","--",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Products","Animal Welfare","--",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Products","Defense/Weapons","--",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Products","Gambling","--",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Products","Tobacco","--",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Social","Community Development","C",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Social","Diversity & EEO","P",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Social","Human Rights","R",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Social","Labor Relations","C",1,0.00
"ESGMX - Mirova Global Sustainable Equity Fund - Class A","Int'l Global","Social","Sudan","--",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Environmental","Climate/Clean Technology","P",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Environmental","Environment","C",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Environmental","Pollution/Toxics","R",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Governance","Board Issues","C",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Governance","Executive Pay","C",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Products","Alcohol","R",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Products","Animal Welfare","--",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Products","Defense/Weapons","R",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Products","Gambling","C",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Products","Tobacco","R",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Social","Community Development","C",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Social","Diversity & EEO","P",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Social","Human Rights","R",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Social","Labor Relations","C",1,0.00
"ESGYX - Mirova Global Sustainable Equity Fund - Class Y","Int'l Global","Social","Sudan","--",1,0.00
"GCBLX - Green Century Balanced","Balanced","Environmental","Climate/Clean Technology","C *",1,4.79
"GCBLX - Green Century Balanced","Balanced","Environmental","Environment","C",1,4.79
"GCBLX - Green Century Balanced","Balanced","Environmental","Pollution/Toxics","R",1,4.79
"GCBLX - Green Century Balanced","Balanced","Governance","Board Issues","C",1,4.79
"GCBLX - Green Century Balanced","Balanced","Governance","Executive Pay","C",1,4.79
"GCBLX - Green Century Balanced","Balanced","Products","Alcohol","R",1,4.79
"GCBLX - Green Century Balanced","Balanced","Products","Animal Welfare","X",1,4.79
"GCBLX - Green Century Balanced","Balanced","Products","Defense/Weapons","X",1,4.79
"GCBLX - Green Century Balanced","Balanced","Products","Gambling","R",1,4.79
"GCBLX - Green Century Balanced","Balanced","Products","Tobacco","X",1,4.79
"GCBLX - Green Century Balanced","Balanced","Social","Community Development","P",1,4.79
"GCBLX - Green Century Balanced","Balanced","Social","Diversity & EEO","C",1,4.79
"GCBLX - Green Century Balanced","Balanced","Social","Human Rights","C",1,4.79
"GCBLX - Green Century Balanced","Balanced","Social","Labor Relations","P",1,4.79
"GCBLX - Green Century Balanced","Balanced","Social","Sudan","--",1,4.79
"GCEQX - Green Century Equity","Equity Large Cap","Environmental","Climate/Clean Technology","C *",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Environmental","Environment","C",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Environmental","Pollution/Toxics","R",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Governance","Board Issues","C",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Governance","Executive Pay","P",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Products","Alcohol","X",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Products","Animal Welfare","R",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Products","Defense/Weapons","X",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Products","Gambling","X",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Products","Tobacco","X",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Social","Community Development","--",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Social","Diversity & EEO","C",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Social","Human Rights","C",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Social","Labor Relations","C",1,8.86
"GCEQX - Green Century Equity","Equity Large Cap","Social","Sudan","--",1,8.86
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Environmental","Climate/Clean Technology","C *",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Environmental","Environment","C",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Environmental","Pollution/Toxics","R",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Governance","Board Issues","C",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Governance","Executive Pay","C",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Products","Alcohol","X",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Products","Animal Welfare","R",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Products","Defense/Weapons","X",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Products","Gambling","X",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Products","Tobacco","X",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Social","Community Development","--",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Social","Diversity & EEO","C",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Social","Human Rights","C",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Social","Labor Relations","C",1,0.00
"GCIFX - Green Century MSCI International Index Fund - Institution","Int'l Global","Social","Sudan","--",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Environmental","Climate/Clean Technology","C *",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Environmental","Environment","C",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Environmental","Pollution/Toxics","R",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Governance","Board Issues","C",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Governance","Executive Pay","C",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Products","Alcohol","X",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Products","Animal Welfare","R",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Products","Defense/Weapons","X",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Products","Gambling","X",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Products","Tobacco","X",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Social","Community Development","--",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Social","Diversity & EEO","C",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Social","Human Rights","C",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Social","Labor Relations","C",1,0.00
"GCINX - Green Century MSCI International Index Fund - Investor","Int'l Global","Social","Sudan","--",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Environmental","Climate/Clean Technology","P",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Environmental","Environment","P",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Environmental","Pollution/Toxics","C",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Governance","Board Issues","P",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Governance","Executive Pay","--",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Products","Alcohol","R",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Products","Animal Welfare","P",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Products","Defense/Weapons","R",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Products","Gambling","R",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Products","Tobacco","R",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Social","Community Development","P",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Social","Diversity & EEO","P",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Social","Human Rights","P",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Social","Labor Relations","C",1,0.00
"LCILX - ClearBridge Sustainability Leaders Fund (IS shares)","All Cap","Social","Sudan","R",1,0.00
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Environmental","Climate/Clean Technology","C",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Environmental","Environment","C",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Environmental","Pollution/Toxics","R",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Governance","Board Issues","C",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Governance","Executive Pay","C",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Products","Alcohol","--",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Products","Animal Welfare","--",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Products","Defense/Weapons","R",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Products","Gambling","--",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Products","Tobacco","R",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Social","Community Development","C",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Social","Diversity & EEO","C",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Social","Human Rights","C",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Social","Labor Relations","C",1,4.80
"LMRNX - 1919 Socially Responsive Balanced Fund - I","Balanced","Social","Sudan","R",1,4.80
"MBAPX - Praxis Genesis Balanced A","Balanced","Environmental","Climate/Clean Technology","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Environmental","Environment","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Environmental","Pollution/Toxics","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Governance","Board Issues","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Governance","Executive Pay","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Products","Alcohol","X",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Products","Animal Welfare","--",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Products","Defense/Weapons","X",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Products","Gambling","X",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Products","Tobacco","X",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Social","Community Development","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Social","Diversity & EEO","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Social","Human Rights","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Social","Labor Relations","P",1,4.22
"MBAPX - Praxis Genesis Balanced A","Balanced","Social","Sudan","--",1,4.22
"MCONX - Praxis Genesis Conservative A","Balanced","Environmental","Climate/Clean Technology","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Environmental","Environment","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Environmental","Pollution/Toxics","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Governance","Board Issues","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Governance","Executive Pay","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Products","Alcohol","X",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Products","Animal Welfare","--",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Products","Defense/Weapons","X",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Products","Gambling","X",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Products","Tobacco","X",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Social","Community Development","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Social","Diversity & EEO","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Social","Human Rights","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Social","Labor Relations","P",1,3.25
"MCONX - Praxis Genesis Conservative A","Balanced","Social","Sudan","--",1,3.25
"MGAFX - Praxis Genesis Growth A","Balanced","Environmental","Climate/Clean Technology","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Environmental","Environment","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Environmental","Pollution/Toxics","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Governance","Board Issues","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Governance","Executive Pay","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Products","Alcohol","X",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Products","Animal Welfare","--",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Products","Defense/Weapons","X",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Products","Gambling","X",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Products","Tobacco","X",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Social","Community Development","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Social","Diversity & EEO","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Social","Human Rights","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Social","Labor Relations","P",1,5.04
"MGAFX - Praxis Genesis Growth A","Balanced","Social","Sudan","--",1,5.04
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Environmental","Climate/Clean Technology","--",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Environmental","Environment","P",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Environmental","Pollution/Toxics","--",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Governance","Board Issues","--",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Governance","Executive Pay","--",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Products","Alcohol","X",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Products","Animal Welfare","R",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Products","Defense/Weapons","X",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Products","Gambling","X",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Products","Tobacco","X",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Social","Community Development","P",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Social","Diversity & EEO","P",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Social","Human Rights","P",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Social","Labor Relations","P",1,10.48
"MGNDX - Praxis Growth Index Fund A","Equity Large Cap","Social","Sudan","--",1,10.48
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","--",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Environmental","Environment","P",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Environmental","Pollution/Toxics","--",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Governance","Board Issues","--",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Governance","Executive Pay","--",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Products","Alcohol","X",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Products","Animal Welfare","R",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Products","Gambling","X",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Products","Tobacco","X",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Social","Community Development","P",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Social","Diversity & EEO","P",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Social","Human Rights","P",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Social","Labor Relations","P",1,2.20
"MIIAX - Praxis Intermediate Income A","Bond (Fixed Inc)","Social","Sudan","--",1,2.20
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","--",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Environmental","Environment","P",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Environmental","Pollution/Toxics","--",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Governance","Board Issues","--",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Governance","Executive Pay","--",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Products","Alcohol","X",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Products","Animal Welfare","R",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Products","Gambling","X",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Products","Tobacco","X",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Social","Community Development","P",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Social","Diversity & EEO","P",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Social","Human Rights","P",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Social","Labor Relations","P",1,2.61
"MIIIX - Praxis Intermediate Income - Institutional","Bond (Fixed Inc)","Social","Sudan","--",1,2.61
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Environmental","Climate/Clean Technology","--",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Environmental","Environment","P",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Environmental","Pollution/Toxics","--",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Governance","Board Issues","--",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Governance","Executive Pay","--",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Products","Alcohol","X",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Products","Animal Welfare","R",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Products","Defense/Weapons","X",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Products","Gambling","X",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Products","Tobacco","X",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Social","Community Development","P",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Social","Diversity & EEO","P",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Social","Human Rights","P",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Social","Labor Relations","P",1,10.93
"MMDEX - Praxis Growth Index Fund - Institutional","Equity Large Cap","Social","Sudan","--",1,10.93
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Environmental","Climate/Clean Technology","--",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Environmental","Environment","P",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Environmental","Pollution/Toxics","--",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Governance","Board Issues","--",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Governance","Executive Pay","--",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Products","Alcohol","X",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Products","Animal Welfare","R",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Products","Defense/Weapons","X",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Products","Gambling","X",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Products","Tobacco","X",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Social","Community Development","P",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Social","Diversity & EEO","P",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Social","Human Rights","P",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Social","Labor Relations","P",1,1.22
"MMSCX - Praxis Small Cap Fund A","Equity Mid-Sm Cap","Social","Sudan","--",1,1.22
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Environmental","Climate/Clean Technology","--",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Environmental","Environment","P",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Environmental","Pollution/Toxics","--",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Governance","Board Issues","--",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Governance","Executive Pay","--",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Products","Alcohol","X",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Products","Animal Welfare","R",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Products","Defense/Weapons","X",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Products","Gambling","X",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Products","Tobacco","X",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Social","Community Development","P",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Social","Diversity & EEO","P",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Social","Human Rights","P",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Social","Labor Relations","P",1,1.81
"MMSIX - Praxis Small Cap Fund - Institutional","Equity Mid-Sm Cap","Social","Sudan","--",1,1.81
"MPLAX - Praxis International Index A","Int'l Global","Environmental","Climate/Clean Technology","--",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Environmental","Environment","P",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Environmental","Pollution/Toxics","--",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Governance","Board Issues","--",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Governance","Executive Pay","--",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Products","Alcohol","X",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Products","Animal Welfare","R",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Products","Defense/Weapons","X",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Products","Gambling","X",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Products","Tobacco","X",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Social","Community Development","P",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Social","Diversity & EEO","P",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Social","Human Rights","P",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Social","Labor Relations","P",1,2.09
"MPLAX - Praxis International Index A","Int'l Global","Social","Sudan","--",1,2.09
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Environmental","Climate/Clean Technology","--",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Environmental","Environment","P",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Environmental","Pollution/Toxics","--",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Governance","Board Issues","--",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Governance","Executive Pay","--",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Products","Alcohol","X",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Products","Animal Welfare","R",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Products","Defense/Weapons","X",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Products","Gambling","X",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Products","Tobacco","X",1,2.66
"MPLIX - Praxis International Index Fund - Institutional","Equity Specialty","Social","Community Development","P",1,2.66
