"Name","Fund Type","Attribute Type","Attribute","Rating","Count","Avg % 3 yr","Avg % 1 yr","Avg % 5 yr","Avg % 10 yr","Mgmt Fee %","Exp Ratio %","AUM (US$ millions)"
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Gambling","X",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Products","Tobacco","X",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Community Development","P",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Diversity & EEO","--",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Human Rights","P",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Labor Relations","P",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPIX - Appleseed Fund Institutional","Int'l Global","Social","Sudan","X",1,1.41,5.86,6.01,0.00,0.85,0.95,178.31
"APPLX - Appleseed Fund","Int'l Global","Environmental","Climate/Clean Technology","C *",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Environmental","Environment","C",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Environmental","Pollution/Toxics","C",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Governance","Board Issues","C",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Governance","Executive Pay","C",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Products","Alcohol","X",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Products","Animal Welfare","--",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Products","Defense/Weapons","R",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Products","Gambling","X",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Products","Tobacco","X",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Social","Community Development","P",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Social","Diversity & EEO","--",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Social","Human Rights","P",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Social","Labor Relations","P",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"APPLX - Appleseed Fund","Int'l Global","Social","Sudan","X",1,1.17,5.62,5.80,6.18,0.85,1.20,178.31
"ARDFX - Ariel Discovery Fund","Equity Specialty","Environmental","Climate/Clean Technology","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Environmental","Environment","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Environmental","Pollution/Toxics","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Governance","Board Issues","P",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Governance","Executive Pay","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Alcohol","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Animal Welfare","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Defense/Weapons","X",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Gambling","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Products","Tobacco","X",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Community Development","P",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Diversity & EEO","P",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Human Rights","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Labor Relations","--",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
