"Name","Fund Type","Attribute Type","Attribute","Rating","Count","Avg % 3 yr","Avg % 1 yr","Avg % 5 yr","Avg % 10 yr","Mgmt Fee %","Exp Ratio %","AUM (US$ millions)"
"CWVGX - Calvert International Equity Fund A","Int'l Global","Social","Sudan","--",1,0.80,13.13,6.30,-1.72,0.86,1.34,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Environmental","Climate/Clean Technology","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Environmental","Environment","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Environmental","Pollution/Toxics","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Governance","Board Issues","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Governance","Executive Pay","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Products","Alcohol","R",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Products","Animal Welfare","R",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Products","Defense/Weapons","R",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Products","Gambling","R",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Products","Tobacco","R",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Social","Community Development","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Social","Diversity & EEO","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Social","Human Rights","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Social","Labor Relations","C",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVIX - Calvert International Equity Fund I","Int'l Global","Social","Sudan","--",1,1.27,13.56,6.87,-1.08,0.86,0.96,231.28
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Environmental","Climate/Clean Technology","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Environmental","Environment","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Environmental","Pollution/Toxics","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Governance","Board Issues","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Governance","Executive Pay","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Products","Alcohol","R",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Products","Animal Welfare","R",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Products","Defense/Weapons","R",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Products","Gambling","R",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Products","Tobacco","R",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Social","Community Development","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Social","Diversity & EEO","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Social","Human Rights","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Social","Labor Relations","C",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CWVYX - Calvert International Opportunities Fund Y","Int'l Global","Social","Sudan","--",1,6.43,25.66,11.91,0.00,0.87,1.15,209.65
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Environmental","Environment","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Governance","Board Issues","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Governance","Executive Pay","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Products","Alcohol","R",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Products","Animal Welfare","R",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Products","Gambling","R",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Products","Tobacco","R",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Social","Community Development","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Social","Human Rights","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Social","Labor Relations","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBAX - Calvert High Yield Bond Fund A","Bond (Fixed Inc)","Social","Sudan","C",1,2.61,6.00,4.99,0.00,0.60,1.07,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Environmental","Environment","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Governance","Board Issues","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Governance","Executive Pay","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Products","Alcohol","R",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Products","Animal Welfare","R",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Products","Gambling","R",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Products","Tobacco","R",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Social","Community Development","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Social","Human Rights","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Social","Labor Relations","C",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBIX - Calvert High Yield Bond Fund I","Bond (Fixed Inc)","Social","Sudan","--",1,2.95,6.33,5.33,0.00,0.60,0.74,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Environmental","Environment","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Governance","Board Issues","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Governance","Executive Pay","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Products","Alcohol","R",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Products","Animal Welfare","--",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Products","Gambling","R",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Products","Tobacco","R",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Social","Community Development","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Social","Human Rights","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Social","Labor Relations","C",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"CYBYX - Calvert High Yield Bond Fund Y","Bond (Fixed Inc)","Social","Sudan","--",1,2.87,6.23,5.24,0.00,0.60,0.82,184.48
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Environmental","Environment","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Governance","Board Issues","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Governance","Executive Pay","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Products","Alcohol","X",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Products","Animal Welfare","R",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Products","Gambling","X",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Products","Tobacco","X",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Social","Community Development","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Social","Human Rights","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Social","Labor Relations","C",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DIEQX - Domini Social Equity Fund -- Institutional shares","Bond (Fixed Inc)","Social","Sudan","R",1,4.14,13.98,11.14,6.48,0.24,0.80,857.85
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Environmental","Climate/Clean Technology","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Environmental","Environment","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Environmental","Pollution/Toxics","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Governance","Board Issues","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Governance","Executive Pay","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Products","Alcohol","X",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Products","Animal Welfare","R",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Products","Defense/Weapons","X",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Products","Gambling","X",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Products","Tobacco","X",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Social","Community Development","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Social","Diversity & EEO","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Social","Human Rights","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Social","Labor Relations","C",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMAX - Domini International Social Equity Fund -- A shares","Int'l Global","Social","Sudan","R",1,5.71,20.10,11.31,2.21,0.94,1.53,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Environmental","Climate/Clean Technology","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Environmental","Environment","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Environmental","Pollution/Toxics","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Governance","Board Issues","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Governance","Executive Pay","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Products","Alcohol","X",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Products","Animal Welfare","R",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Products","Defense/Weapons","X",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Products","Gambling","X",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Products","Tobacco","X",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Social","Community Development","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Social","Diversity & EEO","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Social","Human Rights","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Social","Labor Relations","C",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMIX - Domini International Social Equity Fund -- Investor shares","Int'l Global","Social","Sudan","R",1,5.75,20.25,11.33,2.05,0.94,1.52,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Environmental","Climate/Clean Technology","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Environmental","Environment","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Environmental","Pollution/Toxics","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Governance","Board Issues","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Governance","Executive Pay","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Products","Alcohol","X",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Products","Animal Welfare","R",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Products","Defense/Weapons","X",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Products","Gambling","X",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Products","Tobacco","X",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Social","Community Development","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Social","Diversity & EEO","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Social","Human Rights","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Social","Labor Relations","C",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DOMOX - Domini International Social Equity Fund -- Institutional shares","Int'l Global","Social","Sudan","R",1,6.15,20.58,0.00,0.00,0.94,1.10,1091.09
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Environmental","Environment","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Governance","Board Issues","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Governance","Executive Pay","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Products","Alcohol","X",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Products","Animal Welfare","R",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Products","Gambling","X",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Products","Tobacco","X",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Social","Community Development","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Social","Human Rights","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Social","Labor Relations","C",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBFX - Domini Social Bond Fund - Investor shares","Bond (Fixed Inc)","Social","Sudan","R",1,2.42,0.43,1.70,3.57,0.32,0.93,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C *",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Environmental","Environment","C",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Governance","Board Issues","C",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Governance","Executive Pay","C",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Products","Alcohol","X",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Products","Animal Welfare","R",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Products","Gambling","X",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Products","Tobacco","X",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Social","Community Development","C",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Social","Human Rights","C",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Social","Labor Relations","C",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSBIX - Domini Social Bond Fund -- Institutional shares","Bond (Fixed Inc)","Social","Sudan","R",1,2.66,0.72,1.92,0.00,0.32,0.63,151.51
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Environmental","Environment","C",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Environmental","Pollution/Toxics","C",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Governance","Board Issues","C",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Governance","Executive Pay","C",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Products","Alcohol","X",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Products","Animal Welfare","R",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Products","Defense/Weapons","X",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Products","Gambling","X",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Products","Tobacco","X",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Social","Community Development","C",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
"DSEFX - Domini Social Equity Fund -- Investor shares","Equity Large Cap","Social","Diversity & EEO","C",1,3.77,13.60,10.72,6.07,0.24,1.14,857.85
